id;first_name;last_name;gender;email;phone;address_line_1;address_line_2;city;country
1;Maynard;Jacobson;OTHER;"H&u67n@W._w.'<&";026.954.0023 x96261;Berkshire Designer;Credit Card Account;Lake Friedrichberg;Dominican Republic
2;Monroe;Schmitt;FEMALE;"^(#@N[k1.!";1-516-085-3620;Buckinghamshire Future-proofed deposit;Quality;West Joseph;United Arab Emirates
3;Rodolfo;Conn;OTHER;"k0yq@ABXewZ.mtH?";955-522-9098 x59861;even-keeled Saint Helena Pound;Internal AI optical;Rowenaton;United Arab Emirates
4;Carolyne;Schaden;OTHER;"bq@:R.vo.d";1-546-469-2170;Bedfordshire;navigate;Nataliehaven;Puerto Rico
5;Madyson;Hackett;FEMALE;"e@uF3rv(.:['%a";348.964.7356 x56481;sensor;Alaska;Nolantown;China
6;Zane;Weimann;FEMALE;"I@zDwob.sTgd&";959.980.2331 x823;Pants Maryland;calculating Intranet Ergonomic Concrete Soap;Yesseniaborough;Burundi
7;Deonte;Larson;OTHER;"(|-@l2|O.`\Fa}";228.482.8690 x505;digital deposit;extend Unbranded Fresh Pants Tools;Aureliaview;Moldova
8;Margarete;Bashirian;FEMALE;"T$^%@zS^.Z^z],";200-833-5135;compress lavender Investment Account;backing up;South Hankmouth;Peru
9;Lourdes;Conn;MALE;"j;7&]@u(DiCO.9(;4M";1-020-190-8466 x4019;ROI;Benin;Christfurt;United Arab Emirates
10;Dusty;Nienow;OTHER;"8hf@Fv.C{V";710.310.0003;Developer Shoes Music;Buckinghamshire Hollow Shoes;New Granville;Aruba
